name,tags,data_cols,data_visits
parcels,"{'x': '-109', 'y': '-107'}","['time', 'first']","[[1619403720000, 1], [1619573040000, 1], [1620167280000, 1], [1620387360000, 1], [1620767760000, 1], [1621457880000, 1]]"
parcels,"{'x': '-109', 'y': '-108'}","['time', 'first']","[[1618250520000, 1], [1619238000000, 1], [1619938200000, 1], [1619938800000, 1], [1619938920000, 1], [1621652040000, 1]]"
parcels,"{'x': '-109', 'y': '-109'}","['time', 'first']","[[1619573520000, 1]]"
parcels,"{'x': '-109', 'y': '-11'}","['time', 'first']","[[1617687240000, 1], [1618354080000, 1], [1618553760000, 1], [1621718880000, 1]]"
parcels,"{'x': '-109', 'y': '-110'}","['time', 'first']","[[1617155160000, 1], [1618944000000, 1], [1619387160000, 1], [1621165320000, 1]]"
parcels,"{'x': '-109', 'y': '-111'}","['time', 'first']","[[1619938920000, 1], [1620174600000, 1]]"
parcels,"{'x': '-109', 'y': '-112'}","['time', 'first']","[[1620926160000, 1]]"
parcels,"{'x': '-109', 'y': '-113'}","['time', 'first']","[[1619142840000, 1], [1619142960000, 1], [1619143080000, 1], [1619143200000, 1], [1619143320000, 1], [1619143440000, 1], [1619143560000, 1], [1619143680000, 1], [1620861240000, 1]]"
parcels,"{'x': '-109', 'y': '-114'}","['time', 'first']","[[1618951920000, 1]]"
parcels,"{'x': '-109', 'y': '-115'}","['time', 'first']","[[1620867360000, 1], [1620867720000, 1], [1621011960000, 1], [1621451040000, 1]]"
parcels,"{'x': '-109', 'y': '-116'}","['time', 'first']","[[1620768000000, 1], [1620768120000, 1], [1620768240000, 1], [1620768360000, 1], [1620768600000, 1], [1620768720000, 1], [1620774960000, 1], [1620775080000, 1], [1620775200000, 1], [1620775320000, 1], [1620904440000, 1], [1620905280000, 1]]"
parcels,"{'x': '-109', 'y': '-117'}","['time', 'first']","[[1620867360000, 1], [1621165440000, 1], [1621165560000, 1], [1621461360000, 1]]"
parcels,"{'x': '-109', 'y': '-118'}","['time', 'first']","[[1618632960000, 1], [1619706000000, 1], [1619726280000, 1], [1620865680000, 1], [1621165560000, 1], [1622127720000, 1]]"
parcels,"{'x': '-109', 'y': '-119'}","['time', 'first']","[[1620865680000, 1], [1620867360000, 1]]"
parcels,"{'x': '-109', 'y': '-12'}","['time', 'first']","[[1618553760000, 1], [1619216280000, 1], [1619540640000, 1], [1621109040000, 1]]"
parcels,"{'x': '-109', 'y': '-120'}","['time', 'first']","[[1619166120000, 1], [1620865680000, 1], [1620865800000, 1], [1620867360000, 1], [1621625520000, 1]]"
parcels,"{'x': '-109', 'y': '-121'}","['time', 'first']","[[1618632960000, 1], [1620867360000, 1], [1620867480000, 1]]"
parcels,"{'x': '-109', 'y': '-122'}","['time', 'first']","[[1618553400000, 1], [1620867480000, 1]]"
parcels,"{'x': '-109', 'y': '-123'}","['time', 'first']","[[1617182280000, 1], [1620087960000, 1], [1620867480000, 1]]"
parcels,"{'x': '-109', 'y': '-124'}","['time', 'first']","[[1617182280000, 1]]"
parcels,"{'x': '-109', 'y': '-125'}","['time', 'first']","[[1618305240000, 1], [1620867480000, 1]]"
parcels,"{'x': '-109', 'y': '-127'}","['time', 'first']","[[1618305240000, 1], [1618621560000, 1], [1620867480000, 1]]"
parcels,"{'x': '-109', 'y': '-128'}","['time', 'first']","[[1620867480000, 1]]"
parcels,"{'x': '-109', 'y': '-129'}","['time', 'first']","[[1617084360000, 1], [1617084480000, 1]]"
