ds,avg_passenger_count,sum_passenger_count,log_sum_passenger_count,avg_trip_distance,sum_trip_distance,log_sum_trip_distance,avg_fare_amount,sum_fare_amount,log_sum_fare_amount,avg_tip_amount,sum_tip_amount,log_sum_tip_amount
2009-2-5,1.621505918,6439.0,3.808818425,2.324472173,9230.479,3.965224239,9.220775623,36615.7,4.563667341,0.537489297,2134.37,3.329269708
2009-2-6,1.65864124,6958.0,3.842484424,2.479566389,10401.781,4.017107706,9.544386174,40038.7,4.602479968,0.518243147,2174.03,3.337265533
2009-2-7,1.830526043,7064.0,3.849050691,2.486483545,9595.34,3.982060368,9.29019176,35850.85,4.554499457,0.422575797,1630.72,3.212379398
2009-2-8,1.793272171,5864.0,3.768193962,2.877902141,9410.74,3.973623775,10.13429664,33139.15,4.520341365,0.519455657,1698.62,3.230096233
2009-2-9,1.581327261,4861.0,3.686725621,2.550845804,7841.3,3.89438807,9.411089785,28929.69,4.46134378,0.541258946,1663.83,3.221108951
2009-2-10,1.591317365,5315.0,3.725503269,2.443203593,8160.3,3.911706125,9.278862275,30991.4,4.491241195,0.520532934,1738.58,3.240194679
2009-2-11,1.646053007,5776.0,3.761627185,2.529854659,8877.26,3.94827894,9.651952123,33868.7,4.529798527,0.548278712,1923.91,3.284184752
2009-2-12,1.635416667,5966.0,3.775683249,2.590608553,9450.54,3.975456625,9.815594846,35807.29,4.553971454,0.612793311,2235.47,3.349368846
2009-2-13,1.681102362,6832.0,3.834547858,2.669192913,10847.6,4.035333662,10.08757382,40995.9,4.612740425,0.517315453,2102.37,3.322709151
2009-2-14,1.821490468,7357.0,3.866700756,2.694508542,10883.12,4.036753418,9.812847239,39634.09,4.598068891,0.456392671,1843.37,3.265612515
2009-2-15,1.808417997,6230.0,3.794488047,2.839123367,9780.78,3.99037349,10.074209,34705.65,4.540400183,0.457802612,1577.13,3.197867493
2009-2-16,1.725209497,4941.0,3.693814854,2.783397346,7971.65,3.901548222,9.569032821,27405.71,4.437841058,0.472835196,1354.2,3.131682809
2009-2-17,1.621702638,5410.0,3.733197265,2.608189448,8700.92,3.939565176,9.737020384,32482.7,4.511652121,0.521807554,1740.75,3.240736404
2009-2-18,1.671913161,6161.0,3.789651209,2.46675441,9089.99,3.958563405,9.650909091,35563.6,4.551005717,0.524170963,1931.57,3.285910452
2009-2-19,1.641450777,6336.0,3.801815169,2.555523316,9864.32,3.994067152,9.668290155,37319.6,4.57193698,0.523647668,2021.28,3.305626479
2009-2-20,1.696153846,7056.0,3.848558572,2.593420673,10788.63,4.032966299,9.710180288,40394.35,4.606320624,0.511379808,2127.34,3.327836906
2009-2-21,1.860274696,7043.0,3.847757688,2.634614369,9974.65,3.998897666,9.481616482,35897.4,4.555062994,0.423705758,1604.15,3.205244976
2009-2-22,1.779031779,5990.0,3.777426822,2.954469854,9947.7,3.997722679,10.16186516,34215.0,4.534216544,0.537356697,1809.28,3.257505782
2009-2-23,1.62012012,5395.0,3.731991449,2.615831832,8710.72,3.940054054,9.465855856,31521.3,4.49860412,0.56315015,1875.29,3.273068438
2009-2-24,1.621046739,5792.0,3.762828553,2.496168486,8918.81,3.950306912,9.377036104,33504.15,4.525098604,0.554774699,1982.21,3.297149663
2009-2-25,1.624082631,5975.0,3.77633791,2.545721663,9365.71,3.971540706,9.635009513,35447.2,4.549581936,0.563264474,2072.25,3.316442148
2009-2-26,1.634422773,6201.0,3.792461731,2.57875593,9783.8,3.990507566,9.704243542,36817.9,4.566059014,0.548160253,2079.72,3.318004868
2009-2-27,1.712728195,6755.0,3.829625353,2.665309331,10511.98,4.021684526,9.8980857,39038.05,4.591488116,0.538199797,2122.66,3.326880436
2009-2-28,1.818693982,7102.0,3.851380668,2.706591549,10569.24,4.02404376,9.760486556,38114.7,4.581092506,0.486209987,1898.65,3.278444914
2009-3-1,1.811861614,5499.0,3.74028372,2.984105437,9056.76,3.956972859,10.09459638,30637.1,4.486247654,0.519723229,1577.36,3.197930823
2009-3-2,1.62642669,3705.0,3.568788212,2.545877963,5799.51,3.763391302,9.112664618,20758.65,4.317199107,0.499964881,1138.92,3.056493219
2009-3-3,1.589049523,5166.0,3.713154402,2.608179022,8479.19,3.928354367,9.853768071,32034.6,4.505619306,0.591667179,1923.51,3.284094448
2009-3-4,1.628358209,5455.0,3.736794755,2.458047761,8234.46,3.915635124,9.531044776,31929.0,4.504185317,0.529614925,1774.21,3.249005023
2009-3-5,1.556202879,4541.0,3.657151502,2.595157642,7572.67,3.879249032,9.767169294,28500.6,4.454854003,0.557289239,1626.17,3.211165945
2009-3-6,1.666846507,6179.0,3.790918195,2.714380901,10062.21,4.002693377,10.0885352,37398.2,4.5728507,0.539039655,1998.22,3.300643301
2009-3-7,1.773802484,5999.0,3.778078862,2.74410408,9280.56,3.967574183,9.875901833,33400.3,4.523750368,0.420337079,1421.58,3.152771305
2009-3-8,1.760787021,5101.0,3.707655324,2.967766655,8597.62,3.934378246,10.17758026,29484.45,4.469593031,0.474456334,1374.5,3.138144744
2009-3-9,1.580215827,4393.0,3.642761203,2.590122302,7200.54,3.857365067,9.459064748,26296.2,4.419892994,0.48018705,1334.92,3.12545524
2009-3-10,1.618874773,5352.0,3.728516105,2.545483969,8415.37,3.925073215,9.616938899,31793.6,4.502339706,0.51830006,1713.5,3.233884109
2009-3-11,1.688659167,5554.0,3.744605875,2.547388264,8378.36,3.923159017,9.6777744,31830.2,4.502839367,0.55159927,1814.21,3.258687556
